repo,file,line,kind,message,label
black,tests/data/cases/remove_except_types_parens.py,50,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,56,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,61,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,78,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,83,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,89,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,94,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,100,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,105,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,113,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,115,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,121,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,123,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,137,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,142,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,148,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,153,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,159,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,164,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,170,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,175,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,181,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,186,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,214,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,219,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,225,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens.py,230,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,12,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,17,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,23,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,28,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,34,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,39,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,45,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,50,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,56,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,61,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,67,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,72,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,78,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,83,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,89,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,94,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,101,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,103,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,109,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,111,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,125,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,130,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,136,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,141,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,147,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,152,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,158,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,163,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,169,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,174,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,180,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,185,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,191,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,196,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,202,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,207,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,214,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,216,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,222,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/remove_except_types_parens_pre_py314.py,224,specific-except,except clause swallows errors (specific-except),
black,tests/data/cases/tuple_with_stmt.py,25,specific-except,except clause swallows errors (specific-except),
black,tests/data/miscellaneous/python2_detection.py,53,specific-except,except clause swallows errors (specific-except),
black,tests/data/miscellaneous/python2_detection.py,60,broad-except,except clause swallows errors (broad-except),
fastapi,fastapi/routing.py,601,specific-except,except clause swallows errors (specific-except),
fastapi,fastapi/routing.py,1815,specific-except,except clause swallows errors (specific-except),
fastapi,fastapi/routing.py,2029,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_code/code.py,1583,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_code/source.py,156,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_code/source.py,197,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_io/terminalwriter.py,81,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,83,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,665,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,1213,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,1235,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,1295,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,1326,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,1365,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,1427,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/_py/path.py,1431,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/approx.py,316,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/approx.py,396,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/capture.py,79,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/capture.py,96,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/compat.py,82,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/config/__init__.py,782,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/config/__init__.py,1845,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/config/__init__.py,1912,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/fixtures.py,1076,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/legacypath.py,452,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/logging.py,192,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/monkeypatch.py,75,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/nodes.py,601,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/pathlib.py,260,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/pathlib.py,317,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/pathlib.py,347,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/pathlib.py,599,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/pytester.py,1198,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/runner.py,181,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/terminal.py,1576,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/unittest.py,303,specific-except,except clause swallows errors (specific-except),
pytest,src/_pytest/unittest.py,513,specific-except,except clause swallows errors (specific-except),
pytest,testing/code/test_excinfo.py,139,specific-except,except clause swallows errors (specific-except),
pytest,testing/io/test_saferepr.py,79,specific-except,except clause swallows errors (specific-except),
pytest,testing/python/fixtures.py,780,specific-except,except clause swallows errors (specific-except),
pytest,testing/python/raises.py,69,broad-except,except clause swallows errors (broad-except),
pytest,testing/test_assertrewrite_coverage.py,116,specific-except,except clause swallows errors (specific-except),
pytest,testing/test_runner.py,472,broad-except,except clause swallows errors (broad-except),
pytest,testing/test_runner.py,493,specific-except,except clause swallows errors (specific-except),
pytest,testing/test_runner.py,521,specific-except,except clause swallows errors (specific-except),
pytest,testing/test_runner.py,1040,specific-except,except clause swallows errors (specific-except),
poetry,src/poetry/packages/locker.py,111,specific-except,except clause swallows errors (specific-except),
poetry,src/poetry/packages/locker.py,254,specific-except,except clause swallows errors (specific-except),
poetry,src/poetry/utils/env/env_manager.py,323,specific-except,except clause swallows errors (specific-except),
poetry,src/poetry/utils/env/site_packages.py,37,specific-except,except clause swallows errors (specific-except),
httpx,httpx/_main.py,111,specific-except,except clause swallows errors (specific-except),
httpx,httpx/_multipart.py,211,specific-except,except clause swallows errors (specific-except),
httpx,httpx/_transports/asgi.py,38,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/_cookie_helpers.py,224,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/base_protocol.py,75,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/base_protocol.py,100,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/helpers.py,1000,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/http_writer.py,396,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/web.py,487,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/web_exceptions.py,506,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/web_protocol.py,280,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/web_protocol.py,539,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/web_protocol.py,560,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/web_runner.py,341,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/web_runner.py,374,specific-except,except clause swallows errors (specific-except),
aiohttp,aiohttp/worker.py,137,broad-except,except clause swallows errors (broad-except),
aiohttp,docs/conf.py,72,specific-except,except clause swallows errors (specific-except),
aiohttp,examples/lowlevel_srv.py,24,specific-except,except clause swallows errors (specific-except),
aiohttp,tests/test_client_session.py,1404,broad-except,except clause swallows errors (broad-except),
aiohttp,tests/test_worker.py,68,specific-except,except clause swallows errors (specific-except),
records,setup.py,37,specific-except,except clause swallows errors (specific-except),
